cell,arc,meas,slew_idx,load_idx,slew,load,v0,sigma_local,sigma_local_rel,sigma_vth,sigma_u0
NAND2_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,5.689694e-11,2.161725e-12,3.799370e-02,1.866632e-12,1.090294e-12
NAND2_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,5.687999e-11,2.109859e-12,3.709317e-02,1.624064e-12,1.346819e-12
NAND2_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,3.500935e-11,2.215162e-12,6.327343e-02,2.099783e-12,7.055868e-13
NAND2_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,2.581075e-11,2.958861e-13,1.146368e-02,1.443960e-13,2.582603e-13
NAND2_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,4.898940e-11,2.321427e-12,4.738632e-02,2.168260e-12,8.292607e-13
NAND2_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,3.549512e-11,4.772700e-13,1.344607e-02,2.330364e-13,4.165102e-13
NAND2_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,7.518977e-11,2.740152e-12,3.644314e-02,2.477989e-12,1.169616e-12
NAND2_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,6.013124e-11,1.585761e-12,2.637167e-02,1.107702e-12,1.134740e-12
NAND2_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,2.434389e-11,1.374671e-12,5.646882e-02,9.429358e-13,1.000296e-12
NAND2_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,2.369471e-11,1.525636e-12,6.438718e-02,9.349512e-13,1.205583e-12
NAND2_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,3.927560e-11,2.360568e-12,6.010265e-02,1.592898e-12,1.742112e-12
NAND2_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,4.419603e-11,2.848851e-12,6.445943e-02,1.750173e-12,2.247853e-12
NAND2_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,7.810387e-11,4.916683e-12,6.295056e-02,3.275708e-12,3.666539e-12
NAND2_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,9.886646e-11,6.378034e-12,6.451161e-02,3.924329e-12,5.027819e-12
NAND2_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,3.224924e-11,1.452165e-12,4.502942e-02,1.077078e-12,9.740042e-13
NAND2_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,2.436131e-11,1.281738e-12,5.261366e-02,7.281614e-13,1.054814e-12
NAND2_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,4.704226e-11,2.441000e-12,5.188952e-02,1.735759e-12,1.716282e-12
NAND2_X1,A_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,4.419594e-11,2.848823e-12,6.445894e-02,1.750207e-12,2.247792e-12
