cell,arc,meas,slew_idx,load_idx,inst,group,param,s1,sigma_mm,c_local,contrib_frac,share_global,c_global_1sig
INV_X1,A_f_ZN_r,delay,1,0,M1,N,u0,-1.525000e-13,1.054093e-01,-1.607492e-14,2.235090e-04,1.000000e+00,-4.575000e-15
INV_X1,A_f_ZN_r,delay,1,0,M2,P,vth,6.195700e-11,1.338877e-02,8.29528e-13,5.951953e-01,1.000000e+00,9.293550e-13
INV_X1,A_f_ZN_r,delay,1,0,M2,P,u0,-1.123525e-11,6.085806e-02,-6.837555e-13,4.043888e-01,1.000000e+00,-3.370575e-13
INV_X1,A_f_ZN_r,trans,1,0,M1,N,vth,-5.620000e-13,2.108185e-02,-1.1848e-14,2.861783e-04,1.000000e+00,-8.430000e-15
INV_X1,A_f_ZN_r,trans,1,0,M1,N,u0,1.197500e-13,1.054093e-01,1.262276e-14,3.248295e-04,1.000000e+00,3.592500e-15
INV_X1,A_f_ZN_r,trans,1,0,M2,P,vth,2.460450e-11,1.338877e-02,3.29424e-13,2.212366e-01,1.000000e+00,3.690675e-13
INV_X1,A_f_ZN_r,trans,1,0,M2,P,u0,-1.015175e-11,6.085806e-02,-6.178158e-13,7.781524e-01,1.000000e+00,-3.045525e-13
INV_X1,A_f_ZN_r,delay,1,1,M1,N,vth,1.307500e-12,2.108185e-02,2.756452e-14,1.809344e-04,1.000000e+00,1.961250e-14
INV_X1,A_f_ZN_r,delay,1,1,M1,N,u0,-2.462500e-13,1.054093e-01,-2.595704e-14,1.604466e-04,1.000000e+00,-7.387500e-15
INV_X1,A_f_ZN_r,delay,1,1,M2,P,vth,1.105160e-10,1.338877e-02,1.479673e-12,5.213771e-01,1.000000e+00,1.657740e-12
INV_X1,A_f_ZN_r,delay,1,1,M2,P,u0,-2.328700e-11,6.085806e-02,-1.417202e-12,4.782815e-01,1.000000e+00,-6.986100e-13
INV_X1,A_f_ZN_r,trans,1,1,M1,N,vth,0.000000e+00,2.108185e-02,0.0,0.000000e+00,,0.000000e+00
INV_X1,A_f_ZN_r,trans,1,1,M1,N,u0,-2.500000e-16,1.054093e-01,-2.635233e-17,1.271948e-10,1.000000e+00,-7.500000e-18
INV_X1,A_f_ZN_r,trans,1,1,M2,P,vth,1.059405e-10,1.338877e-02,1.418413e-12,3.684996e-01,1.000000e+00,1.589108e-12
INV_X1,A_f_ZN_r,trans,1,1,M2,P,u0,-3.051075e-11,6.085806e-02,-1.856825e-12,6.315004e-01,1.000000e+00,-9.153225e-13
INV_X1,A_f_ZN_r,delay,1,2,M1,N,vth,8.755000e-13,2.108185e-02,1.845716e-14,1.609510e-05,1.000000e+00,1.313250e-14
INV_X1,A_f_ZN_r,delay,1,2,M1,N,u0,-2.100000e-13,1.054093e-01,-2.213595e-14,2.315050e-05,1.000000e+00,-6.300000e-15
INV_X1,A_f_ZN_r,delay,1,2,M2,P,vth,2.364000e-10,1.338877e-02,3.165105e-12,4.733041e-01,1.000000e+00,3.546000e-12
INV_X1,A_f_ZN_r,delay,1,2,M2,P,u0,-5.486100e-11,6.085806e-02,-3.338734e-12,5.266567e-01,1.000000e+00,-1.645830e-12
INV_X1,A_f_ZN_r,trans,1,2,M1,N,vth,-6.000000e-15,2.108185e-02,-1.264911e-16,4.613656e-10,1.000000e+00,-9.000000e-17
INV_X1,A_f_ZN_r,trans,1,2,M1,N,u0,0.000000e+00,1.054093e-01,0.0,0.000000e+00,,0.000000e+00
INV_X1,A_f_ZN_r,trans,1,2,M2,P,vth,2.706455e-10,1.338877e-02,3.62361e-12,3.786241e-01,1.000000e+00,4.059683e-12
INV_X1,A_f_ZN_r,trans,1,2,M2,P,u0,-7.627750e-11,6.085806e-02,-4.642101e-12,6.213759e-01,1.000000e+00,-2.288325e-12
INV_X1,A_f_ZN_r,delay,2,0,M1,N,vth,-8.154000e-12,2.108185e-02,-1.719014e-13,5.289801e-03,1.000000e+00,-1.223100e-13
INV_X1,A_f_ZN_r,delay,2,0,M1,N,u0,3.420000e-13,1.054093e-01,3.604998e-14,2.326433e-04,1.000000e+00,1.026000e-14
INV_X1,A_f_ZN_r,delay,2,0,M2,P,vth,1.505610e-10,1.338877e-02,2.015827e-12,7.274226e-01,1.000000e+00,2.258415e-12
INV_X1,A_f_ZN_r,delay,2,0,M2,P,u0,-2.006975e-11,6.085806e-02,-1.221406e-12,2.670549e-01,1.000000e+00,-6.020925e-13
INV_X1,A_f_ZN_r,trans,2,0,M1,N,vth,7.828500e-12,2.108185e-02,1.650393e-13,5.277205e-02,1.000000e+00,1.174275e-13
INV_X1,A_f_ZN_r,trans,2,0,M1,N,u0,-3.317500e-13,1.054093e-01,-3.496954e-14,2.369241e-03,1.000000e+00,-9.952500e-15
INV_X1,A_f_ZN_r,trans,2,0,M2,P,vth,1.836050e-11,1.338877e-02,2.458245e-13,1.170792e-01,1.000000e+00,2.754075e-13
INV_X1,A_f_ZN_r,trans,2,0,M2,P,u0,-1.074050e-11,6.085806e-02,-6.53646e-13,8.277795e-01,1.000000e+00,-3.222150e-13
INV_X1,A_f_ZN_r,delay,2,1,M1,N,vth,-2.648000e-12,2.108185e-02,-5.582474e-14,4.235698e-04,1.000000e+00,-3.972000e-14
INV_X1,A_f_ZN_r,delay,2,1,M1,N,u0,3.150000e-14,1.054093e-01,3.320393e-15,1.498479e-06,1.000000e+00,9.450000e-16
INV_X1,A_f_ZN_r,delay,2,1,M2,P,vth,1.618750e-10,1.338877e-02,2.167307e-12,6.384288e-01,1.000000e+00,2.428125e-12
INV_X1,A_f_ZN_r,delay,2,1,M2,P,u0,-2.678475e-11,6.085806e-02,-1.630068e-12,3.611461e-01,1.000000e+00,-8.035425e-13
INV_X1,A_f_ZN_r,trans,2,1,M1,N,vth,2.301000e-12,2.108185e-02,4.850934e-14,1.067928e-03,1.000000e+00,3.451500e-14
INV_X1,A_f_ZN_r,trans,2,1,M1,N,u0,-2.575000e-14,1.054093e-01,-2.714289e-15,3.343517e-06,1.000000e+00,-7.725000e-16
INV_X1,A_f_ZN_r,trans,2,1,M2,P,vth,4.810100e-11,1.338877e-02,6.440132e-13,1.882265e-01,1.000000e+00,7.215150e-13
INV_X1,A_f_ZN_r,trans,2,1,M2,P,u0,-2.196175e-11,6.085806e-02,-1.336549e-12,8.107022e-01,1.000000e+00,-6.588525e-13
INV_X1,A_f_ZN_r,delay,2,2,M1,N,vth,-4.050000e-13,2.108185e-02,-8.538149e-15,2.995540e-06,1.000000e+00,-6.075000e-15
INV_X1,A_f_ZN_r,delay,2,2,M1,N,u0,-1.450000e-13,1.054093e-01,-1.528435e-14,9.599342e-06,1.000000e+00,-4.350000e-15
INV_X1,A_f_ZN_r,delay,2,2,M2,P,vth,2.696970e-10,1.338877e-02,3.610911e-12,5.357735e-01,1.000000e+00,4.045455e-12
